 KEGG:hsa00010    Glycolysis / Gluconeogenesis
 REACT:R-HSA-373753    Nephrin interactions
 REACT:R-HSA-373755    Semaphorin interactions
 REACT:R-HSA-373760    L1CAM interactions
 REACT:R-HSA-375165    NCAM signaling for neurite out-growth
 REACT:R-HSA-375170    CDO in myogenesis
 REACT:R-HSA-375276    Peptide ligand-binding receptors
 REACT:R-HSA-375280    Amine ligand-binding receptors
 REACT:R-HSA-375281    Hormone ligand-binding receptors
 REACT:R-HSA-376172    DSCAM interactions
 REACT:R-HSA-376176    Signaling by Robo receptor
 REACT:R-HSA-3769402    Deactivation of the beta-catenin transactivating complex
 REACT:R-HSA-3772470    Negative regulation of TCF-dependent signaling by WNT ligand antagonists
 REACT:R-HSA-3781865    Diseases of glycosylation
 REACT:R-HSA-3785653    Myoclonic epilepsy of Lafora
 REACT:R-HSA-379397    Enzymatic degradation of dopamine by COMT
 REACT:R-HSA-379398    Enzymatic degradation of Dopamine by monoamine oxidase
 REACT:R-HSA-379401    Dopamine clearance from the synaptic cleft
 REACT:R-HSA-379716    Cytosolic tRNA aminoacylation
 REACT:R-HSA-379724    tRNA Aminoacylation
 REACT:R-HSA-379726    Mitochondrial tRNA aminoacylation
 REACT:R-HSA-380095    Tachykinin receptors bind tachykinins
 REACT:R-HSA-380108    Chemokine receptors bind chemokines
 REACT:R-HSA-380259    Loss of Nlp from mitotic centrosomes
 REACT:R-HSA-380270    Recruitment of mitotic centrosome proteins and complexes
 REACT:R-HSA-380284    Loss of proteins required for interphase microtubule organization from the centrosome
 REACT:R-HSA-380287    Centrosome maturation
 REACT:R-HSA-380320    Recruitment of NuMA to mitotic centrosomes
 REACT:R-HSA-380612    Metabolism of serotonin
 REACT:R-HSA-380615    Serotonin clearance from the synaptic cleft
 REACT:R-HSA-380972    Energy dependent regulation of mTOR by LKB1-AMPK
 REACT:R-HSA-380994    ATF4 activates genes
 REACT:R-HSA-381033    ATF6 (ATF6-alpha) activates chaperones
 REACT:R-HSA-381038    XBP1(S) activates chaperone genes
 REACT:R-HSA-381042    PERK regulates gene expression
 REACT:R-HSA-381070    IRE1alpha activates chaperones
 REACT:R-HSA-381119    Unfolded Protein Response (UPR)
 REACT:R-HSA-381183    ATF6 (ATF6-alpha) activates chaperone genes
 REACT:R-HSA-381340    Transcriptional regulation of white adipocyte differentiation
 REACT:R-HSA-381426    Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
 REACT:R-HSA-3814836    Glycogen storage disease type XV (GYG1)
 REACT:R-HSA-381676    Glucagon-like Peptide-1 (GLP1) regulates insulin secretion
 REACT:R-HSA-381753    Olfactory Signaling Pathway
 REACT:R-HSA-381771    "Synthesis  secretion  and inactivation of Glucagon-like Peptide-1 (GLP-1)"
 REACT:R-HSA-382551    Transmembrane transport of small molecules
 REACT:R-HSA-382556    ABC-family proteins mediated transport
 REACT:R-HSA-3828062    Glycogen storage disease type 0 (muscle GYS1)
 REACT:R-HSA-383280    Nuclear Receptor transcription pathway
 REACT:R-HSA-3858494    Beta-catenin independent WNT signaling
 REACT:R-HSA-3858516    Glycogen storage disease type 0 (liver GYS2)
 REACT:R-HSA-3878781    Glycogen storage disease type IV (GBE1)
 REACT:R-HSA-388396    GPCR downstream signaling
 REACT:R-HSA-388479    Vasopressin-like receptors
 REACT:R-HSA-388841    Costimulation by the CD28 family
 REACT:R-HSA-389356    CD28 co-stimulation
 REACT:R-HSA-389357    CD28 dependent PI3K/Akt signaling
 REACT:R-HSA-389359    CD28 dependent Vav1 pathway
 REACT:R-HSA-389397    Orexin and neuropeptides FF and QRFP bind to their respective receptors
 REACT:R-HSA-389513    CTLA4 inhibitory signaling
 REACT:R-HSA-389542    NADPH regeneration
 REACT:R-HSA-389599    Alpha-oxidation of phytanate
 REACT:R-HSA-389661    Glyoxylate metabolism and glycine degradation
 REACT:R-HSA-389887    Beta-oxidation of pristanoyl-CoA
 REACT:R-HSA-389948    PD-1 signaling
 REACT:R-HSA-389957    Prefoldin mediated transfer of substrate  to CCT/TriC
 REACT:R-HSA-389958    Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding
 REACT:R-HSA-389960    Formation of tubulin folding intermediates by CCT/TriC
 REACT:R-HSA-389977    Post-chaperonin tubulin folding pathway
 REACT:R-HSA-390247    Beta-oxidation of very long chain fatty acids
 REACT:R-HSA-390450    Folding of actin by CCT/TriC
 REACT:R-HSA-390466    Chaperonin-mediated protein folding
 REACT:R-HSA-390471    Association of TriC/CCT with target proteins during biosynthesis
 REACT:R-HSA-390522    Striated Muscle Contraction
 REACT:R-HSA-390648    Muscarinic acetylcholine receptors
 REACT:R-HSA-390650    Histamine receptors
 REACT:R-HSA-390651    Dopamine receptors
 REACT:R-HSA-390666    Serotonin receptors
 REACT:R-HSA-390696    Adrenoceptors
 REACT:R-HSA-3906995    Diseases associated with O-glycosylation of proteins
 REACT:R-HSA-390918    Peroxisomal lipid metabolism
 REACT:R-HSA-391160    Signal regulatory protein (SIRP) family interactions
 REACT:R-HSA-391251    Protein folding
 REACT:R-HSA-391903    Eicosanoid ligand-binding receptors
 REACT:R-HSA-391906    Leukotriene receptors
 REACT:R-HSA-391908    Prostanoid ligand receptors
 REACT:R-HSA-392023    Adrenaline signalling through Alpha-2 adrenergic receptor
 REACT:R-HSA-392154    Nitric oxide stimulates guanylate cyclase
 REACT:R-HSA-392170    ADP signalling through P2Y purinoceptor 12
 REACT:R-HSA-392451    G beta:gamma signalling through PI3Kgamma
 REACT:R-HSA-392499    Metabolism of proteins
 REACT:R-HSA-392517    Rap1 signalling
 REACT:R-HSA-392518    Signal amplification
 REACT:R-HSA-392851    Prostacyclin signalling through prostacyclin receptor
 REACT:R-HSA-3928662    EPHB-mediated forward signaling
 REACT:R-HSA-3928663    EPHA-mediated growth cone collapse
 REACT:R-HSA-3928664    Ephrin signaling
 REACT:R-HSA-3928665    EPH-ephrin mediated repulsion of cells
 REACT:R-HSA-397014    Muscle contraction
 REACT:R-HSA-397795    G-protein beta:gamma signalling
 REACT:R-HSA-399710    Activation of AMPA receptors
 REACT:R-HSA-399719    Trafficking of AMPA receptors
 REACT:R-HSA-399721    "Glutamate Binding  Activation of AMPA Receptors and Synaptic Plasticity"
 REACT:R-HSA-399954    Sema3A PAK dependent Axon repulsion
 REACT:R-HSA-399955    SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
 REACT:R-HSA-399956    CRMPs in Sema3A signaling
 REACT:R-HSA-399997    Acetylcholine regulates insulin secretion
 REACT:R-HSA-400042    "Adrenaline noradrenaline inhibits insulin secretion"
 REACT:R-HSA-400206    Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
 REACT:R-HSA-400253    Circadian Clock
 REACT:R-HSA-400451    Free fatty acids regulate insulin secretion
 REACT:R-HSA-400508    "Incretin synthesis  secretion  and inactivation"
 REACT:R-HSA-400511    "Synthesis  secretion  and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
 REACT:R-HSA-400685    Sema4D in semaphorin signaling
 REACT:R-HSA-4085001    Sialic acid metabolism
 REACT:R-HSA-4086398    Ca2+ pathway
 REACT:R-HSA-4086400    PCP/CE pathway
 REACT:R-HSA-416476    G alpha (q) signalling events
 REACT:R-HSA-416482    G alpha (12/13) signalling events
 REACT:R-HSA-416550    Sema4D mediated inhibition of cell attachment and migration
 REACT:R-HSA-416572    Sema4D induced cell migration and growth-cone collapse
 REACT:R-HSA-416700    Other semaphorin interactions
 REACT:R-HSA-416993    Trafficking of GluR2-containing AMPA receptors
 REACT:R-HSA-417957    P2Y receptors
 REACT:R-HSA-417973    Adenosine P1 receptors
 REACT:R-HSA-418038    Nucleotide-like (purinergic) receptors
 REACT:R-HSA-418217    G beta:gamma signalling through PLC beta
 REACT:R-HSA-418346    Platelet homeostasis
 REACT:R-HSA-418359    Reduction of cytosolic Ca++ levels
 REACT:R-HSA-418360    Platelet calcium homeostasis
 REACT:R-HSA-418457    cGMP effects
 REACT:R-HSA-418555    G alpha (s) signalling events
 REACT:R-HSA-418592    ADP signalling through P2Y purinoceptor 1
 REACT:R-HSA-418594    G alpha (i) signalling events
 REACT:R-HSA-418597    G alpha (z) signalling events
 REACT:R-HSA-418885    DCC mediated attractive signaling
 REACT:R-HSA-418886    Netrin mediated repulsion signals
 REACT:R-HSA-418889    Ligand-independent caspase activation via DCC
 REACT:R-HSA-418890    Role of second messengers in netrin-1 signaling
 REACT:R-HSA-418990    Adherens junctions interactions
 REACT:R-HSA-419037    NCAM1 interactions
 REACT:R-HSA-419408    Lysosphingolipid and LPA receptors
 REACT:R-HSA-419771    Opsins
 REACT:R-HSA-419812    Calcitonin-like ligand receptors
 REACT:R-HSA-420029    Tight junction interactions
 REACT:R-HSA-420092    Glucagon-type ligand receptors
 REACT:R-HSA-420499    Class C/3 (Metabotropic glutamate/pheromone receptors)
 REACT:R-HSA-420597    Nectin/Necl  trans heterodimerization
 REACT:R-HSA-421270    Cell-cell junction organization
 REACT:R-HSA-421837    Clathrin derived vesicle budding
 REACT:R-HSA-422085    "Synthesis  secretion  and deacylation of Ghrelin"
 REACT:R-HSA-422356    Regulation of insulin secretion
 REACT:R-HSA-422475    Axon guidance
 REACT:R-HSA-425366    "Transport of glucose and other sugars  bile salts and organic acids  metal ions and amine compounds"
 REACT:R-HSA-425381    Bicarbonate transporters
 REACT:R-HSA-425393    Transport of inorganic cations/anions and amino acids/oligopeptides
 REACT:R-HSA-425397    "Transport of vitamins  nucleosides  and related molecules"
 REACT:R-HSA-425407    SLC-mediated transmembrane transport
 REACT:R-HSA-425410    Metal ion SLC transporters
 REACT:R-HSA-425561    Sodium/Calcium exchangers
 REACT:R-HSA-425986    Sodium/Proton exchangers
 REACT:R-HSA-426048    Arachidonate production from DAG
 REACT:R-HSA-426117    Cation-coupled Chloride cotransporters
 REACT:R-HSA-426486    Small interfering RNA (siRNA) biogenesis
 REACT:R-HSA-426496    Post-transcriptional silencing by small RNAs
 REACT:R-HSA-427359    SIRT1 negatively regulates rRNA Expression
 REACT:R-HSA-427389    ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression
 REACT:R-HSA-427413    NoRC negatively regulates rRNA expression
 REACT:R-HSA-427589    Type II Na+/Pi cotransporters
 REACT:R-HSA-427601    Multifunctional anion exchangers
 REACT:R-HSA-427652    Sodium-coupled phosphate cotransporters
 REACT:R-HSA-427975    Proton/oligopeptide cotransporters
 REACT:R-HSA-428157    Sphingolipid metabolism
 REACT:R-HSA-428359    Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA
 REACT:R-HSA-428540    Activation of Rac
 REACT:R-HSA-428542    Regulation of Commissural axon pathfinding by Slit and Robo
 REACT:R-HSA-428543    Inactivation of Cdc42 and Rac
 REACT:R-HSA-428559    Proton-coupled neutral amino acid transporters
 REACT:R-HSA-428643    Organic anion transporters
 REACT:R-HSA-428776    Class II GLUTs
 REACT:R-HSA-428790    Facilitative Na+-independent glucose transporters
 REACT:R-HSA-428808    Na+-dependent glucose transporters
 REACT:R-HSA-428890    Role of Abl in Robo-Slit signaling
 REACT:R-HSA-428930    Thromboxane signalling through TP receptor
 REACT:R-HSA-429593    Inositol transporters
 REACT:R-HSA-429914    Deadenylation-dependent mRNA decay
 REACT:R-HSA-429947    Deadenylation of mRNA
 REACT:R-HSA-429958    mRNA decay by 3' to 5' exoribonuclease
 REACT:R-HSA-430039    mRNA decay by 5' to 3' exoribonuclease
 REACT:R-HSA-430116    GP1b-IX-V activation signalling
 REACT:R-HSA-432030    Transport of glycerol from adipocytes to the liver by Aquaporins
 REACT:R-HSA-432040    Vasopressin regulates renal water homeostasis via Aquaporins
 REACT:R-HSA-432047    Passive transport by Aquaporins
 REACT:R-HSA-432142    Platelet sensitization by LDL
 REACT:R-HSA-432720    Lysosome Vesicle Biogenesis
 REACT:R-HSA-432722    Golgi Associated Vesicle Biogenesis
 REACT:R-HSA-433137    "Sodium-coupled sulphate  di- and tri-carboxylate transporters"
 REACT:R-HSA-433692    Proton-coupled monocarboxylate transport
 REACT:R-HSA-434316    Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion
 REACT:R-HSA-435354    Zinc transporters
 REACT:R-HSA-435368    Zinc efflux and compartmentalization by the SLC30 family
 REACT:R-HSA-437239    Recycling pathway of L1
 REACT:R-HSA-438064    Post NMDA receptor activation events
 REACT:R-HSA-438066    "Unblocking of NMDA receptor  glutamate binding and activation"
 REACT:R-HSA-4411364    Binding of TCF/LEF:CTNNB1 to target gene promoters
 REACT:R-HSA-4419969    Depolymerisation of the Nuclear Lamina
 REACT:R-HSA-4420097    VEGFA-VEGFR2 Pathway
 REACT:R-HSA-4420332    Defective B3GALT6 causes EDSP2 and SEMDJL1
 REACT:R-HSA-442380    Zinc influx into cells by the SLC39 gene family
 REACT:R-HSA-442660    Na+/Cl- dependent neurotransmitter transporters
 REACT:R-HSA-442717    CREB phosphorylation through the activation of CaMKK
 REACT:R-HSA-442720    CREB phosphorylation through the activation of Adenylate Cyclase
 REACT:R-HSA-442729    CREB phosphorylation through the activation of CaMKII
 REACT:R-HSA-442742    CREB phosphorylation through the activation of Ras
 REACT:R-HSA-442745    Activation of CaMK IV
 REACT:R-HSA-442755    Activation of NMDA receptor upon glutamate binding and postsynaptic events
 REACT:R-HSA-442982    Ras activation uopn Ca2+ infux through NMDA receptor
 REACT:R-HSA-444209    Free fatty acid receptors
 REACT:R-HSA-444257    RSK activation
 REACT:R-HSA-444411    Rhesus glycoproteins mediate ammonium transport.
 REACT:R-HSA-444473    Formyl peptide receptors bind formyl peptides and many other ligands
 REACT:R-HSA-444821    Relaxin receptors
 REACT:R-HSA-445095    Interaction between L1 and Ankyrins
 REACT:R-HSA-445144    Signal transduction by L1
 REACT:R-HSA-445355    Smooth Muscle Contraction
 REACT:R-HSA-445717    Aquaporin-mediated transport
 REACT:R-HSA-445989    TAK1 activates NFkB by phosphorylation and activation of IKKs complex
 REACT:R-HSA-446107    Type I hemidesmosome assembly
 REACT:R-HSA-446193    "Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide  LLO) and transfer to a nascent protein"
 REACT:R-HSA-446199    Synthesis of Dolichyl-phosphate
 REACT:R-HSA-446203    Asparagine N-linked glycosylation
 REACT:R-HSA-446205    Synthesis of GDP-mannose
 REACT:R-HSA-446210    Synthesis of UDP-N-acetyl-glucosamine
 REACT:R-HSA-446219    Synthesis of substrates in N-glycan biosythesis
 REACT:R-HSA-446343    Localization of the PINCH-ILK-PARVIN complex to focal adhesions
 REACT:R-HSA-446353    Cell-extracellular matrix interactions
 REACT:R-HSA-446388    Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
 REACT:R-HSA-446652    Interleukin-1 signaling
 REACT:R-HSA-446728    Cell junction organization
 REACT:R-HSA-447038    NrCAM interactions
 REACT:R-HSA-447041    CHL1 interactions
 REACT:R-HSA-447043    Neurofascin interactions
 REACT:R-HSA-447115    Interleukin-12 signaling
 REACT:R-HSA-448424    Interleukin-17 signaling
 REACT:R-HSA-448706    Interleukin-1 processing
 REACT:R-HSA-449147    Signaling by Interleukins
 REACT:R-HSA-450282    MAPK targets/ Nuclear events mediated by MAP kinases
 REACT:R-HSA-450294    MAP kinase activation in TLR cascade
 REACT:R-HSA-450302    activated TAK1 mediates p38 MAPK activation
 REACT:R-HSA-450321    JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1
 REACT:R-HSA-450341    Activation of the AP-1 family of transcription factors
 REACT:R-HSA-450385    Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
 REACT:R-HSA-450408    AUF1 (hnRNP D0) binds and destabilizes mRNA
 REACT:R-HSA-450513    "Tristetraprolin (TTP  ZFP36) binds and destabilizes mRNA"
 REACT:R-HSA-450520    HuR (ELAVL1) binds and stabilizes mRNA
 REACT:R-HSA-450531    Regulation of mRNA stability by proteins that bind AU-rich elements
 REACT:R-HSA-450604    KSRP (KHSRP) binds and destabilizes mRNA
 REACT:R-HSA-451306    Ionotropic activity of Kainate Receptors
 REACT:R-HSA-451307    Activation of Na-permeable Kainate Receptors
 REACT:R-HSA-451308    Activation of Ca-permeable Kainate Receptor
 REACT:R-HSA-451326    Activation of Kainate Receptors upon glutamate binding
 REACT:R-HSA-451927    Interleukin-2 signaling
 REACT:R-HSA-452723    Transcriptional regulation of pluripotent stem cells
 REACT:R-HSA-453274    Mitotic G2-G2/M phases
 REACT:R-HSA-453276    Regulation of mitotic cell cycle
 REACT:R-HSA-453279    Mitotic G1-G1/S phases
 REACT:R-HSA-4551638    SUMOylation of chromatin organization proteins
 REACT:R-HSA-456926    Thrombin signalling through proteinase activated receptors (PARs)
 REACT:R-HSA-4570464    SUMOylation of RNA binding proteins
 REACT:R-HSA-4608870    Asymmetric localization of PCP proteins
 REACT:R-HSA-4615885    SUMOylation of DNA replication proteins
 REACT:R-HSA-4641257    Degradation of AXIN
 REACT:R-HSA-4641258    Degradation of DVL
 REACT:R-HSA-4641262    Disassembly of the destruction complex and recruitment of AXIN to the membrane
 REACT:R-HSA-4641263    Regulation of FZD by ubiquitination
 REACT:R-HSA-4641265    Repression of WNT target genes
 REACT:R-HSA-4791275    Signaling by WNT in cancer
 REACT:R-HSA-480985    Synthesis of dolichyl-phosphate-glucose
 REACT:R-HSA-4839726    Chromatin organization
 REACT:R-HSA-4839735    "AXIN mutants destabilize the destruction complex  activating WNT signaling"
 REACT:R-HSA-4839743    phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex
 REACT:R-HSA-4839744    truncated APC mutants destabilize the destruction complex
 REACT:R-HSA-4839748    AMER1 mutants destabilize the destruction complex
 REACT:R-HSA-499943    Synthesis and interconversion of nucleotide di- and triphosphates
 REACT:R-HSA-500657    Presynaptic function of Kainate receptors
 REACT:R-HSA-500753    Pyrimidine biosynthesis
 REACT:R-HSA-500792    GPCR ligand binding
 REACT:R-HSA-504046    "RNA Polymerase I  RNA Polymerase III  and Mitochondrial Transcription"
 REACT:R-HSA-5083625    Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)
 REACT:R-HSA-5083628    "Defective POMGNT1 causes MDDGA3  MDDGB3 and MDDGC3"
 REACT:R-HSA-5083629    "Defective POMT2 causes MDDGA2  MDDGB2 and MDDGC2"
 REACT:R-HSA-5083630    Defective LFNG causes SCDO3
 REACT:R-HSA-5083632    Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)
 REACT:R-HSA-5083633    "Defective POMT1 causes MDDGA1  MDDGB1 and MDDGC1"
 REACT:R-HSA-5083635    Defective B3GALTL causes Peters-plus syndrome (PpS)
 REACT:R-HSA-5083636    Defective GALNT12 causes colorectal cancer 1 (CRCS1)
 REACT:R-HSA-5099900    WNT5A-dependent internalization of FZD4
 REACT:R-HSA-512988    "Interleukin-3  5 and GM-CSF signaling"
 REACT:R-HSA-5140745    "WNT5A-dependent internalization of FZD2  FZD5 and ROR2"
 REACT:R-HSA-5173105    O-linked glycosylation
 REACT:R-HSA-5173214    O-glycosylation of TSR domain-containing proteins
 REACT:R-HSA-5205647    Mitophagy
 REACT:R-HSA-5205685    Pink/Parkin Mediated Mitophagy
 REACT:R-HSA-5210891    Uptake and function of anthrax toxins
 REACT:R-HSA-5213460    RIPK1-mediated regulated necrosis
 REACT:R-HSA-5218859    Regulated Necrosis
 REACT:R-HSA-5218900    CASP8 activity is inhibited
 REACT:R-HSA-5218920    VEGFR2 mediated vascular permeability
 REACT:R-HSA-5218921    VEGFR2 mediated cell proliferation
 REACT:R-HSA-5221030    "TET1 2 3 and TDG demethylate DNA"
 REACT:R-HSA-5223345    Miscellaneous transport and binding events
 REACT:R-HSA-5250913    Positive epigenetic regulation of rRNA expression
 REACT:R-HSA-5250924    B-WICH complex positively regulates rRNA expression
 REACT:R-HSA-5250941    Negative epigenetic regulation of rRNA expression
 REACT:R-HSA-5250955    Toxicity of botulinum toxin type D (BoNT/D)
 REACT:R-HSA-5250958    Toxicity of botulinum toxin type B (BoNT/B)
 REACT:R-HSA-5250968    Toxicity of botulinum toxin type A (BoNT/A)
 REACT:R-HSA-5250971    Toxicity of botulinum toxin type C (BoNT/C)
 REACT:R-HSA-5250981    Toxicity of botulinum toxin type F (BoNT/F)
 REACT:R-HSA-5250982    Toxicity of tetanus toxin (TeNT)
 REACT:R-HSA-5250989    Toxicity of botulinum toxin type G (BoNT/G)
 REACT:R-HSA-5250992    Toxicity of botulinum toxin type E (BoNT/E)
 REACT:R-HSA-525793    Myogenesis
 REACT:R-HSA-5260271    Diseases of Immune System
 REACT:R-HSA-5263617    Metabolism of ingested MeSeO2H into MeSeH
 REACT:R-HSA-532668    N-glycan trimming in the ER and Calnexin/Calreticulin cycle
 REACT:R-HSA-5334118    DNA methylation
 REACT:R-HSA-5336415    Uptake and function of diphtheria toxin
 REACT:R-HSA-5339562    Uptake and actions of bacterial toxins
 REACT:R-HSA-5339700    TCF7L2 mutants don't bind CTBP
 REACT:R-HSA-5339716    Misspliced GSK3beta mutants stabilize beta-catenin
 REACT:R-HSA-5339717    Misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling
 REACT:R-HSA-5340573    WNT ligand secretion is abrogated by the PORCN inhibitor LGK974
 REACT:R-HSA-5340588    RNF mutants show enhanced WNT signaling and proliferation
 REACT:R-HSA-535734    "Fatty acid  triacylglycerol  and ketone body metabolism"
 REACT:R-HSA-5357572    Lysosomal glycogen catabolism
 REACT:R-HSA-5357609    Glycogen storage disease type II (GAA)
 REACT:R-HSA-5357769    Caspase activation via extrinsic apoptotic signalling pathway
 REACT:R-HSA-5357786    TNFR1-induced proapoptotic signaling
 REACT:R-HSA-5357801    Programmed Cell Death
 REACT:R-HSA-5357905    Regulation of TNFR1 signaling
 REACT:R-HSA-5357956    TNFR1-induced NFkappaB signaling pathway
 REACT:R-HSA-5358346    Hedgehog ligand biogenesis
 REACT:R-HSA-5358351    Signaling by Hedgehog
 REACT:R-HSA-5358493    Synthesis of diphthamide-EEF2
 REACT:R-HSA-5358508    Mismatch Repair
 REACT:R-HSA-5358565    Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)
 REACT:R-HSA-5358606    Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)
 REACT:R-HSA-5358747    S33 mutants of beta-catenin aren't phosphorylated
 REACT:R-HSA-5358749    S37 mutants of beta-catenin aren't phosphorylated
 REACT:R-HSA-5358751    S45 mutants of beta-catenin aren't phosphorylated
 REACT:R-HSA-5358752    T41 mutants of beta-catenin aren't phosphorylated
 REACT:R-HSA-5362517    Signaling by Retinoic Acid
 REACT:R-HSA-5362768    Hh mutants that don't undergo autocatalytic processing are degraded by ERAD
 REACT:R-HSA-5362798    Release of Hh-Np from the secreting cell
 REACT:R-HSA-5365859    RA biosynthesis pathway
 REACT:R-HSA-5368286    Mitochondrial translation initiation
 REACT:R-HSA-5368287    Mitochondrial translation
 REACT:R-HSA-5368598    Negative regulation of TCF-dependent signaling by DVL-interacting proteins
 REACT:R-HSA-5387390    Hh mutants abrogate ligand secretion
 REACT:R-HSA-5389840    Mitochondrial translation elongation
 REACT:R-HSA-5419276    Mitochondrial translation termination
 REACT:R-HSA-5423646    Aflatoxin activation and detoxification
 REACT:R-HSA-5467333    APC truncation mutants are not K63 polyubiquitinated
 REACT:R-HSA-5467337    APC truncation mutants have impaired AXIN binding
 REACT:R-HSA-5467340    AXIN missense mutants destabilize the destruction complex
 REACT:R-HSA-5467348    Truncations of AMER1 destabilize the destruction complex
 REACT:R-HSA-549127    Organic cation transport
 REACT:R-HSA-549132    Organic cation/anion/zwitterion transport
 REACT:R-HSA-5545619    "XAV939 inhibits tankyrase  stabilizing AXIN"
 REACT:R-HSA-556833    Metabolism of lipids and lipoproteins
 REACT:R-HSA-5576886    Phase 4 - resting membrane potential
 REACT:R-HSA-5576890    Phase 3 - rapid repolarisation
 REACT:R-HSA-5576891    Cardiac conduction
 REACT:R-HSA-5576892    Phase 0 - rapid depolarisation
 REACT:R-HSA-5576893    Phase 2 - plateau phase
 REACT:R-HSA-5576894    Phase 1 - inactivation of fast Na+ channels
 REACT:R-HSA-5578749    Transcriptional regulation by small RNAs
 REACT:R-HSA-5578768    Physiological factors
 REACT:R-HSA-5578775    Ion homeostasis
 REACT:R-HSA-5579026    "Defective CYP11A1 causes Adrenal insufficiency  congenital  with 46 XY sex reversal (AICSR)"
 REACT:R-HSA-5579029    Metabolic disorders of biological oxidation enzymes
 REACT:R-HSA-5579031    Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)
 REACT:R-HSA-5601884    PIWI-interacting RNA (piRNA) biogenesis
 REACT:R-HSA-5602358    Diseases associated with the TLR signaling cascade
 REACT:R-HSA-5602410    TLR3 deficiency - HSE
 REACT:R-HSA-5602415    UNC93B1 deficiency - HSE
 REACT:R-HSA-5602498    MyD88 deficiency (TLR2/4)
 REACT:R-HSA-5602566    TICAM1 deficiency - HSE
 REACT:R-HSA-5602571    TRAF3 deficiency - HSE
 REACT:R-HSA-5602636    IKBKB deficiency causes SCID
 REACT:R-HSA-5602680    MyD88 deficiency (TLR5)
 REACT:R-HSA-5603027    IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)
 REACT:R-HSA-5603029    IkBA variant leads to EDA-ID
 REACT:R-HSA-5603037    IRAK4 deficiency (TLR5)
 REACT:R-HSA-5603041    IRAK4 deficiency (TLR2/4)
 REACT:R-HSA-5607761    Dectin-1 mediated noncanonical NF-kB signaling
 REACT:R-HSA-5607763    CLEC7A (Dectin-1) induces NFAT activation
 REACT:R-HSA-5607764    CLEC7A (Dectin-1) signaling
 REACT:R-HSA-561048    Organic anion transport
 REACT:R-HSA-5610780    Degradation of GLI1 by the proteasome
 REACT:R-HSA-5610783    Degradation of GLI2 by the proteasome
 REACT:R-HSA-5610785    GLI3 is processed to GLI3R by the proteasome
 REACT:R-HSA-5610787    Hedgehog 'off' state
 REACT:R-HSA-5617472    Activation of anterior HOX genes in hindbrain development during early embryogenesis
 REACT:R-HSA-5617833    Cilium Assembly
 REACT:R-HSA-5619058    "Defective SLCO1B3 causes hyperbilirubinemia  Rotor type (HBLRR)"
 REACT:R-HSA-5619084    ABC transporter disorders
 REACT:R-HSA-5619099    Defective AVP causes neurohypophyseal diabetes insipidus (NDI)
 REACT:R-HSA-5619102    SLC transporter disorders
 REACT:R-HSA-5619107    Defective TRP may confer susceptibility towards thyroid papillary carcinoma (TPC)
 REACT:R-HSA-5619110    "Defective SLCO1B1 causes hyperbilirubinemia  Rotor type (HBLRR)"
 REACT:R-HSA-5619115    Disorders of transmembrane transporters
 REACT:R-HSA-5619507    Activation of HOX genes during differentiation
 REACT:R-HSA-5620912    Anchoring of the basal body to the plasma membrane
 REACT:R-HSA-5620916    VxPx cargo-targeting to cilium
 REACT:R-HSA-5620920    Cargo trafficking to the periciliary membrane
 REACT:R-HSA-5620922    BBSome-mediated cargo-targeting to cilium
 REACT:R-HSA-5620924    Intraflagellar transport
 REACT:R-HSA-5621480    Dectin-2 family
 REACT:R-HSA-5621481    C-type lectin receptors (CLRs)
 REACT:R-HSA-5621575    CD209 (DC-SIGN) signaling
 REACT:R-HSA-5624138    Trafficking of myristoylated proteins to the cilium
 REACT:R-HSA-5624958    ARL13B-mediated ciliary trafficking of INPP5E
 REACT:R-HSA-5625740    RHO GTPases activate PKNs
 REACT:R-HSA-5625886    Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
 REACT:R-HSA-5625900    RHO GTPases activate CIT
 REACT:R-HSA-5625970    RHO GTPases activate KTN1
