39.723 number of GO processes
16.6302 GO:0007601	 visual perception
-0.352651 GO:0006654	 phosphatidic acid biosynthetic process
-0.376492 GO:1903671	 negative regulation of sprouting angiogenesis
-0.376492 GO:1900246	 positive regulation of RIG-I signaling pathway
-0.376492 GO:0098887	 neurotransmitter receptor transport, endosome to postsynaptic membrane
-0.376492 GO:0090527	 actin filament reorganization
-0.376492 GO:0090043	 regulation of tubulin deacetylation
-0.376492 GO:0070828	 heterochromatin organization
-0.376492 GO:0061763	 multivesicular body-lysosome fusion
-0.376492 GO:0051469	 vesicle fusion with vacuole
-0.376492 GO:0046598	 positive regulation of viral entry into host cell
-0.376492 GO:0045050	 protein insertion into ER membrane by stop-transfer membrane-anchor sequence
-0.376492 GO:0044346	 fibroblast apoptotic process
-0.376492 GO:0044255	 cellular lipid metabolic process
-0.376492 GO:0038066	 p38MAPK cascade
-0.376492 GO:0035773	 insulin secretion involved in cellular response to glucose stimulus
-0.376492 GO:0034727	 piecemeal microautophagy of the nucleus
-0.376492 GO:0034453	 microtubule anchoring
-0.376492 GO:0032527	 protein exit from endoplasmic reticulum
-0.376492 GO:0031665	 negative regulation of lipopolysaccharide-mediated signaling pathway
-0.376492 GO:0030042	 actin filament depolymerization
-0.376492 GO:0015732	 prostaglandin transport
-0.376492 GO:0010917	 negative regulation of mitochondrial membrane potential
-0.376492 GO:0006688	 glycosphingolipid biosynthetic process
-0.376492 GO:0006241	 CTP biosynthetic process
-0.376492 GO:0006081	 cellular aldehyde metabolic process
-0.376492 GO:0002430	 complement receptor mediated signaling pathway
-0.378868 GO:1903241	 U2-type prespliceosome assembly
-0.378868 GO:0022604	 regulation of cell morphogenesis
-0.378868 GO:0001580	 detection of chemical stimulus involved in sensory perception of bitter taste
-0.388861 GO:0032968	 positive regulation of transcription elongation by RNA polymerase II
-0.388861 GO:0007608	 sensory perception of smell
-0.399216 GO:0007346	 regulation of mitotic cell cycle
-0.407309 GO:0050919	 negative chemotaxis
-0.413303 GO:2000042	 negative regulation of double-strand break repair via homologous recombination
-0.413303 GO:0031145	 anaphase-promoting complex-dependent catabolic process
-0.429274 GO:0043967	 histone H4 acetylation
-0.445858 GO:0042147	 retrograde transport, endosome to Golgi
-0.461173 GO:2000145	 regulation of cell motility
-0.461173 GO:0061157	 mRNA destabilization
-0.461173 GO:0046834	 lipid phosphorylation
-0.461173 GO:0033173	 calcineurin-NFAT signaling cascade
-0.461173 GO:0032230	 positive regulation of synaptic transmission, GABAergic
-0.461173 GO:0008593	 regulation of Notch signaling pathway
-0.461173 GO:0006165	 nucleoside diphosphate phosphorylation
-0.47477 GO:0030178	 negative regulation of Wnt signaling pathway
-0.479778 GO:2001242	 regulation of intrinsic apoptotic signaling pathway
-0.479778 GO:2000987	 positive regulation of behavioral fear response
-0.479778 GO:1905806	 regulation of synapse pruning
-0.479778 GO:1905719	 protein localization to perinuclear region of cytoplasm
-0.479778 GO:1904428	 negative regulation of tubulin deacetylation
-0.479778 GO:1904294	 positive regulation of ERAD pathway
-0.479778 GO:1903902	 positive regulation of viral life cycle
-0.479778 GO:1903575	 cornified envelope assembly
-0.479778 GO:1903361	 protein localization to basolateral plasma membrane
-0.479778 GO:1902416	 positive regulation of mRNA binding
-0.479778 GO:1902389	 ceramide 1-phosphate transport
-0.479778 GO:1902093	 positive regulation of flagellated sperm motility
-0.479778 GO:1901895	 negative regulation of ATPase-coupled calcium transmembrane transporter activity
-0.479778 GO:1900024	 regulation of substrate adhesion-dependent cell spreading
-0.479778 GO:0098780	 response to mitochondrial depolarisation
-0.479778 GO:0097720	 calcineurin-mediated signaling
-0.479778 GO:0090383	 phagosome acidification
-0.479778 GO:0090238	 positive regulation of arachidonic acid secretion
-0.479778 GO:0090158	 endoplasmic reticulum membrane organization
-0.479778 GO:0072675	 osteoclast fusion
-0.479778 GO:0071800	 podosome assembly
-0.479778 GO:0070925	 organelle assembly
-0.479778 GO:0070475	 rRNA base methylation
-0.479778 GO:0060718	 chorionic trophoblast cell differentiation
-0.479778 GO:0052697	 xenobiotic glucuronidation
-0.479778 GO:0051972	 regulation of telomerase activity
-0.479778 GO:0051383	 kinetochore organization
-0.479778 GO:0051223	 regulation of protein transport
-0.479778 GO:0051058	 negative regulation of small GTPase mediated signal transduction
-0.479778 GO:0050859	 negative regulation of B cell receptor signaling pathway
-0.479778 GO:0050851	 antigen receptor-mediated signaling pathway
-0.479778 GO:0048790	 maintenance of presynaptic active zone structure
-0.479778 GO:0048205	 COPI coating of Golgi vesicle
-0.479778 GO:0046985	 positive regulation of hemoglobin biosynthetic process
-0.479778 GO:0046321	 positive regulation of fatty acid oxidation
-0.479778 GO:0045835	 negative regulation of meiotic nuclear division
-0.479778 GO:0044806	 G-quadruplex DNA unwinding
-0.479778 GO:0042713	 sperm ejaculation
-0.479778 GO:0039529	 RIG-I signaling pathway
-0.479778 GO:0038203	 TORC2 signaling
-0.479778 GO:0036089	 cleavage furrow formation
-0.479778 GO:0034695	 response to prostaglandin E
-0.479778 GO:0034316	 negative regulation of Arp2/3 complex-mediated actin nucleation
-0.479778 GO:0034134	 toll-like receptor 2 signaling pathway
-0.479778 GO:0034109	 homotypic cell-cell adhesion
-0.479778 GO:0033631	 cell-cell adhesion mediated by integrin
-0.479778 GO:0033119	 negative regulation of RNA splicing
-0.479778 GO:0032814	 regulation of natural killer cell activation
-0.479778 GO:0032696	 negative regulation of interleukin-13 production
-0.479778 GO:0032483	 regulation of Rab protein signal transduction
-0.479778 GO:0032098	 regulation of appetite
-0.479778 GO:0032020	 ISG15-protein conjugation
-0.479778 GO:0031442	 positive regulation of mRNA 3'-end processing
-0.479778 GO:0030836	 positive regulation of actin filament depolymerization
-0.479778 GO:0030311	 poly-N-acetyllactosamine biosynthetic process
-0.479778 GO:0019852	 L-ascorbic acid metabolic process
-0.479778 GO:0018344	 protein geranylgeranylation
-0.479778 GO:0018216	 peptidyl-arginine methylation
-0.479778 GO:0018027	 peptidyl-lysine dimethylation
-0.479778 GO:0018023	 peptidyl-lysine trimethylation
-0.479778 GO:0015734	 taurine transport
-0.479778 GO:0014074	 response to purine-containing compound
-0.479778 GO:0010923	 negative regulation of phosphatase activity
-0.479778 GO:0010922	 positive regulation of phosphatase activity
-0.479778 GO:0010571	 positive regulation of nuclear cell cycle DNA replication
-0.479778 GO:0009134	 nucleoside diphosphate catabolic process
-0.479778 GO:0007606	 sensory perception of chemical stimulus
-0.479778 GO:0006929	 substrate-dependent cell migration
-0.479778 GO:0006682	 galactosylceramide biosynthetic process
-0.479778 GO:0006379	 mRNA cleavage
-0.479778 GO:0006066	 alcohol metabolic process
-0.479778 GO:0002735	 positive regulation of myeloid dendritic cell cytokine production
-0.479778 GO:0002532	 production of molecular mediator involved in inflammatory response
-0.479778 GO:0002023	 reduction of food intake in response to dietary excess
-0.479778 GO:0000963	 mitochondrial RNA processing
-0.489352 GO:0035521	 monoubiquitinated histone deubiquitination
-0.489352 GO:0030488	 tRNA methylation
-0.489352 GO:0017156	 calcium-ion regulated exocytosis
-0.532592 GO:0048240	 sperm capacitation
-0.532592 GO:0045954	 positive regulation of natural killer cell mediated cytotoxicity
-0.532592 GO:0009792	 embryo development ending in birth or egg hatching
-0.533881 GO:2000774	 positive regulation of cellular senescence
-0.533881 GO:1902043	 positive regulation of extrinsic apoptotic signaling pathway via death domain receptors
-0.533881 GO:0099151	 regulation of postsynaptic density assembly
-0.533881 GO:0075522	 IRES-dependent viral translational initiation
-0.533881 GO:0070934	 CRD-mediated mRNA stabilization
-0.533881 GO:0050732	 negative regulation of peptidyl-tyrosine phosphorylation
-0.533881 GO:0048846	 axon extension involved in axon guidance
-0.533881 GO:0046931	 pore complex assembly
-0.533881 GO:0045040	 protein insertion into mitochondrial outer membrane
-0.533881 GO:0043666	 regulation of phosphoprotein phosphatase activity
-0.533881 GO:0043405	 regulation of MAP kinase activity
-0.533881 GO:0035020	 regulation of Rac protein signal transduction
-0.533881 GO:0034975	 protein folding in endoplasmic reticulum
-0.533881 GO:0034501	 protein localization to kinetochore
-0.533881 GO:0033235	 positive regulation of protein sumoylation
-0.533881 GO:0014912	 negative regulation of smooth muscle cell migration
-0.533881 GO:0007600	 sensory perception
-0.533881 GO:0006995	 cellular response to nitrogen starvation
-0.555837 GO:0045070	 positive regulation of viral genome replication
-0.555837 GO:0036258	 multivesicular body assembly
-0.579904 GO:2001306	 lipoxin B4 biosynthetic process
-0.579904 GO:2001302	 lipoxin A4 metabolic process
-0.579904 GO:2001264	 negative regulation of C-C chemokine binding
-0.579904 GO:2001253	 regulation of histone H3-K36 trimethylation
-0.579904 GO:2001251	 negative regulation of chromosome organization
-0.579904 GO:2001246	 negative regulation of phosphatidylcholine biosynthetic process
-0.579904 GO:2001245	 regulation of phosphatidylcholine biosynthetic process
-0.579904 GO:2001233	 regulation of apoptotic signaling pathway
-0.579904 GO:2001193	 positive regulation of gamma-delta T cell activation involved in immune response
-0.579904 GO:2001185	 regulation of CD8-positive, alpha-beta T cell activation
-0.579904 GO:2001162	 positive regulation of histone H3-K79 methylation
-0.579904 GO:2001161	 negative regulation of histone H3-K79 methylation
-0.579904 GO:2001145	 negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity
-0.579904 GO:2001114	 positive regulation of cellular response to hepatocyte growth factor stimulus
-0.579904 GO:2001113	 negative regulation of cellular response to hepatocyte growth factor stimulus
-0.579904 GO:2001106	 regulation of Rho guanyl-nucleotide exchange factor activity
-0.579904 GO:2001051	 positive regulation of tendon cell differentiation
-0.579904 GO:2001031	 positive regulation of cellular glucuronidation
-0.579904 GO:2001021	 negative regulation of response to DNA damage stimulus
-0.579904 GO:2001019	 positive regulation of retrograde axon cargo transport
-0.579904 GO:2000984	 negative regulation of ATP citrate synthase activity
-0.579904 GO:2000983	 regulation of ATP citrate synthase activity
-0.579904 GO:2000979	 positive regulation of forebrain neuron differentiation
-0.579904 GO:2000975	 positive regulation of pro-B cell differentiation
-0.579904 GO:2000971	 negative regulation of detection of glucose
-0.579904 GO:2000853	 negative regulation of corticosterone secretion
-0.579904 GO:2000827	 mitochondrial RNA surveillance
-0.579904 GO:2000812	 regulation of barbed-end actin filament capping
-0.579904 GO:2000764	 positive regulation of semaphorin-plexin signaling pathway involved in outflow tract morphogenesis
-0.579904 GO:2000763	 positive regulation of transcription from RNA polymerase II promoter involved in norepinephrine biosynthetic process
-0.579904 GO:2000724	 positive regulation of cardiac vascular smooth muscle cell differentiation
-0.579904 GO:2000723	 negative regulation of cardiac vascular smooth muscle cell differentiation
-0.579904 GO:2000696	 regulation of epithelial cell differentiation involved in kidney development
-0.579904 GO:2000689	 actomyosin contractile ring assembly actin filament organization
-0.579904 GO:2000657	 negative regulation of apolipoprotein binding
-0.579904 GO:2000655	 negative regulation of cellular response to testosterone stimulus
-0.579904 GO:2000642	 negative regulation of early endosome to late endosome transport
-0.579904 GO:2000640	 positive regulation of SREBP signaling pathway
-0.579904 GO:2000633	 positive regulation of pre-miRNA processing
-0.579904 GO:2000570	 positive regulation of T-helper 2 cell activation
-0.579904 GO:2000558	 positive regulation of immunoglobulin production in mucosal tissue
-0.579904 GO:2000549	 positive regulation of dendritic cell dendrite assembly
-0.579904 GO:2000548	 negative regulation of dendritic cell dendrite assembly
-0.579904 GO:2000547	 regulation of dendritic cell dendrite assembly
-0.579904 GO:2000545	 negative regulation of endothelial cell chemotaxis to fibroblast growth factor
-0.579904 GO:2000544	 regulation of endothelial cell chemotaxis to fibroblast growth factor
-0.579904 GO:2000533	 negative regulation of renal albumin absorption
-0.579904 GO:2000526	 positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation
-0.579904 GO:2000525	 positive regulation of T cell costimulation
-0.579904 GO:2000518	 negative regulation of T-helper 1 cell activation
-0.579904 GO:2000515	 negative regulation of CD4-positive, alpha-beta T cell activation
-0.579904 GO:2000514	 regulation of CD4-positive, alpha-beta T cell activation
-0.579904 GO:2000513	 positive regulation of granzyme A production
-0.579904 GO:2000508	 regulation of dendritic cell chemotaxis
-0.579904 GO:2000502	 negative regulation of natural killer cell chemotaxis
-0.579904 GO:2000465	 regulation of glycogen (starch) synthase activity
-0.579904 GO:2000458	 regulation of astrocyte chemotaxis
-0.579904 GO:2000452	 regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation
-0.579904 GO:2000431	 regulation of cytokinesis, actomyosin contractile ring assembly
-0.579904 GO:2000425	 regulation of apoptotic cell clearance
-0.579904 GO:2000420	 negative regulation of eosinophil extravasation
-0.579904 GO:2000417	 negative regulation of eosinophil migration
-0.579904 GO:2000415	 positive regulation of fibronectin-dependent thymocyte migration
-0.579904 GO:2000409	 positive regulation of T cell extravasation
-0.579904 GO:2000408	 negative regulation of T cell extravasation
-0.579904 GO:2000382	 positive regulation of mesoderm development
-0.579904 GO:2000376	 positive regulation of oxygen metabolic process
-0.579904 GO:2000374	 regulation of oxygen metabolic process
-0.579904 GO:2000359	 regulation of binding of sperm to zona pellucida
-0.579904 GO:2000324	 positive regulation of glucocorticoid receptor signaling pathway
-0.579904 GO:2000308	 negative regulation of tumor necrosis factor (ligand) superfamily member 11 production
-0.579904 GO:2000277	 positive regulation of oxidative phosphorylation uncoupler activity
-0.579904 GO:2000257	 regulation of protein activation cascade
-0.579904 GO:2000254	 regulation of male germ cell proliferation
-0.579904 GO:2000250	 negative regulation of actin cytoskeleton reorganization
-0.579904 GO:2000227	 negative regulation of pancreatic A cell differentiation
-0.579904 GO:2000224	 regulation of testosterone biosynthetic process
-0.579904 GO:2000209	 regulation of anoikis
-0.579904 GO:2000208	 positive regulation of ribosomal small subunit export from nucleus
-0.579904 GO:2000192	 negative regulation of fatty acid transport
-0.579904 GO:2000191	 regulation of fatty acid transport
-0.579904 GO:2000184	 positive regulation of progesterone biosynthetic process
-0.579904 GO:2000158	 positive regulation of ubiquitin-specific protease activity
-0.579904 GO:2000142	 regulation of DNA-templated transcription initiation
-0.579904 GO:2000118	 regulation of sodium-dependent phosphate transport
-0.579904 GO:2000103	 positive regulation of mammary stem cell proliferation
-0.579904 GO:2000081	 positive regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation
-0.579904 GO:2000080	 negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation
-0.579904 GO:2000057	 negative regulation of Wnt signaling pathway involved in digestive tract morphogenesis
-0.579904 GO:2000011	 regulation of adaxial/abaxial pattern formation
-0.579904 GO:1990983	 tRNA demethylation
-0.579904 GO:1990969	 modulation by host of viral RNA-binding transcription factor activity
-0.579904 GO:1990968	 modulation by host of RNA binding by virus
-0.579904 GO:1990963	 establishment of blood-retinal barrier
-0.579904 GO:1990859	 cellular response to endothelin
-0.579904 GO:1990832	 slow axonal transport
-0.579904 GO:1990828	 hepatocyte dedifferentiation
-0.579904 GO:1990785	 response to water-immersion restraint stress
-0.579904 GO:1990771	 clathrin-dependent extracellular exosome endocytosis
-0.579904 GO:1990764	 myofibroblast contraction
-0.579904 GO:1990758	 mitotic sister chromatid biorientation
-0.579904 GO:1990739	 granulosa cell proliferation
-0.579904 GO:1990679	 histone H4-K12 deacetylation
-0.579904 GO:1990654	 sebum secreting cell proliferation
-0.579904 GO:1990637	 response to prolactin
-0.579904 GO:1990579	 peptidyl-serine trans-autophosphorylation
-0.579904 GO:1990549	 mitochondrial NAD transmembrane transport
-0.579904 GO:1990544	 mitochondrial ATP transmembrane transport
-0.579904 GO:1990539	 fructose import across plasma membrane
-0.579904 GO:1990466	 protein autosumoylation
-0.579904 GO:1990451	 cellular stress response to acidic pH
-0.579904 GO:1990443	 peptidyl-threonine autophosphorylation
-0.579904 GO:1990442	 intrinsic apoptotic signaling pathway in response to nitrosative stress
-0.579904 GO:1990390	 protein K33-linked ubiquitination
-0.579904 GO:1990256	 signal clustering
-0.579904 GO:1990127	 intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator
-0.579904 GO:1990114	 RNA polymerase II core complex assembly
-0.579904 GO:1905956	 positive regulation of endothelial tube morphogenesis
-0.579904 GO:1905934	 negative regulation of cell fate determination
-0.579904 GO:1905899	 regulation of smooth muscle tissue development
-0.579904 GO:1905875	 negative regulation of postsynaptic density organization
-0.579904 GO:1905869	 negative regulation of 3'-UTR-mediated mRNA stabilization
-0.579904 GO:1905835	 cellular response to pyrimidine ribonucleotide
-0.579904 GO:1905833	 negative regulation of microtubule nucleation
-0.579904 GO:1905809	 negative regulation of synapse organization
-0.579904 GO:1905795	 cellular response to puromycin
-0.579904 GO:1905751	 positive regulation of endosome to plasma membrane protein transport
-0.579904 GO:1905737	 positive regulation of L-proline import across plasma membrane
-0.579904 GO:1905703	 negative regulation of inhibitory synapse assembly
-0.579904 GO:1905702	 regulation of inhibitory synapse assembly
-0.579904 GO:1905698	 positive regulation of polysome binding
-0.579904 GO:1905672	 negative regulation of lysosome organization
-0.579904 GO:1905669	 TORC1 complex assembly
-0.579904 GO:1905668	 positive regulation of protein localization to endosome
-0.579904 GO:1905667	 negative regulation of protein localization to endosome
-0.579904 GO:1905662	 negative regulation of telomerase RNA reverse transcriptase activity
-0.579904 GO:1905647	 proline import across plasma membrane
-0.579904 GO:1905608	 positive regulation of presynapse assembly
-0.579904 GO:1905607	 negative regulation of presynapse assembly
-0.579904 GO:1905597	 positive regulation of low-density lipoprotein particle receptor binding
-0.579904 GO:1905586	 negative regulation of outer hair cell apoptotic process
-0.579904 GO:1905580	 positive regulation of ERBB3 signaling pathway
-0.579904 GO:1905553	 regulation of blood vessel branching
-0.579904 GO:1905551	 negative regulation of protein localization to endoplasmic reticulum
-0.579904 GO:1905534	 positive regulation of leucine import across plasma membrane
-0.579904 GO:1905492	 positive regulation of branching morphogenesis of a nerve
-0.579904 GO:1905458	 positive regulation of lymphoid progenitor cell differentiation
-0.579904 GO:1905457	 negative regulation of lymphoid progenitor cell differentiation
-0.579904 GO:1905456	 regulation of lymphoid progenitor cell differentiation
-0.579904 GO:1905438	 non-canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation
-0.579904 GO:1905433	 negative regulation of retrograde trans-synaptic signaling by neuropeptide
-0.579904 GO:1905415	 positive regulation of dense core granule exocytosis
-0.579904 GO:1905413	 regulation of dense core granule exocytosis
-0.579904 GO:1905404	 positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process
-0.579904 GO:1905399	 regulation of activated CD4-positive, alpha-beta T cell apoptotic process
-0.579904 GO:1905396	 cellular response to flavonoid
-0.579904 GO:1905364	 regulation of endosomal vesicle fusion
-0.579904 GO:1905355	 spine apparatus assembly
-0.579904 GO:1905319	 mesenchymal stem cell migration
-0.579904 GO:1905280	 negative regulation of retrograde transport, endosome to Golgi
-0.579904 GO:1905273	 positive regulation of proton-transporting ATP synthase activity, rotational mechanism
-0.579904 GO:1905267	 endonucleolytic cleavage involved in tRNA processing
-0.579904 GO:1905226	 regulation of adhesion of symbiont to host epithelial cell
-0.579904 GO:1905216	 positive regulation of RNA binding
-0.579904 GO:1905215	 negative regulation of RNA binding
-0.579904 GO:1905199	 manchette disassembly
-0.579904 GO:1905188	 positive regulation of metaphase/anaphase transition of meiosis I
-0.579904 GO:1905184	 positive regulation of protein serine/threonine phosphatase activity
-0.579904 GO:1905174	 regulation of vascular associated smooth muscle cell dedifferentiation
-0.579904 GO:1905171	 positive regulation of protein localization to phagocytic vesicle
-0.579904 GO:1905151	 negative regulation of voltage-gated sodium channel activity
-0.579904 GO:1905143	 eukaryotic translation initiation factor 2 complex assembly
-0.579904 GO:1905116	 positive regulation of lateral attachment of mitotic spindle microtubules to kinetochore
-0.579904 GO:1905091	 positive regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
-0.579904 GO:1905062	 positive regulation of cardioblast proliferation
-0.579904 GO:1905045	 negative regulation of Schwann cell proliferation involved in axon regeneration
-0.579904 GO:1905042	 negative regulation of epithelium regeneration
-0.579904 GO:1905041	 regulation of epithelium regeneration
-0.579904 GO:1905040	 otic placode development
-0.579904 GO:1905012	 regulation of 'de novo' NAD biosynthetic process from tryptophan
-0.579904 GO:1905004	 picolinic acid biosynthetic process
-0.579904 GO:1904998	 negative regulation of leukocyte adhesion to arterial endothelial cell
-0.579904 GO:1904997	 regulation of leukocyte adhesion to arterial endothelial cell
-0.579904 GO:1904992	 positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway
-0.579904 GO:1904985	 negative regulation of quinolinate biosynthetic process
-0.579904 GO:1904958	 positive regulation of midbrain dopaminergic neuron differentiation
-0.579904 GO:1904950	 negative regulation of establishment of protein localization
-0.579904 GO:1904914	 negative regulation of establishment of protein-containing complex localization to telomere
-0.579904 GO:1904911	 negative regulation of establishment of RNA localization to telomere
-0.579904 GO:1904905	 negative regulation of endothelial cell-matrix adhesion via fibronectin
-0.579904 GO:1904902	 ESCRT III complex assembly
-0.579904 GO:1904890	 negative regulation of excitatory synapse assembly
-0.579904 GO:1904876	 negative regulation of DNA ligase activity
-0.579904 GO:1904850	 negative regulation of establishment of protein localization to telomere
-0.579904 GO:1904843	 cellular response to nitroglycerin
-0.579904 GO:1904828	 positive regulation of hydrogen sulfide biosynthetic process
-0.579904 GO:1904812	 rRNA acetylation involved in maturation of SSU-rRNA
-0.579904 GO:1904792	 positive regulation of shelterin complex assembly
-0.579904 GO:1904791	 negative regulation of shelterin complex assembly
-0.579904 GO:1904779	 regulation of protein localization to centrosome
-0.579904 GO:1904777	 negative regulation of protein localization to cell cortex
-0.579904 GO:1904776	 regulation of protein localization to cell cortex
-0.579904 GO:1904766	 negative regulation of macroautophagy by TORC1 signaling
-0.579904 GO:1904764	 chaperone-mediated autophagy translocation complex disassembly
-0.579904 GO:1904762	 positive regulation of myofibroblast differentiation
-0.579904 GO:1904744	 positive regulation of telomeric DNA binding
-0.579904 GO:1904743	 negative regulation of telomeric DNA binding
-0.579904 GO:1904731	 positive regulation of intestinal lipid absorption
-0.579904 GO:1904729	 regulation of intestinal lipid absorption
-0.579904 GO:1904723	 negative regulation of Wnt-Frizzled-LRP5/6 complex assembly
-0.579904 GO:1904716	 positive regulation of chaperone-mediated autophagy
-0.579904 GO:1904710	 positive regulation of granulosa cell apoptotic process
-0.579904 GO:1904708	 regulation of granulosa cell apoptotic process
-0.579904 GO:1904679	 myo-inositol import across plasma membrane
-0.579904 GO:1904677	 positive regulation of somatic stem cell division
-0.579904 GO:1904591	 positive regulation of protein import
-0.579904 GO:1904589	 regulation of protein import
-0.579904 GO:1904586	 cellular response to putrescine
-0.579904 GO:1904580	 regulation of intracellular mRNA localization
-0.579904 GO:1904566	 cellular response to 1-oleoyl-sn-glycerol 3-phosphate
-0.579904 GO:1904557	 L-alanine transmembrane transport
-0.579904 GO:1904550	 response to arachidonic acid
-0.579904 GO:1904530	 negative regulation of actin filament binding
-0.579904 GO:1904482	 cellular response to tetrahydrofolate
-0.579904 GO:1904472	 positive regulation of endothelin production
-0.579904 GO:1904465	 negative regulation of matrix metallopeptidase secretion
-0.579904 GO:1904456	 negative regulation of neuronal action potential
-0.579904 GO:1904445	 negative regulation of establishment of Sertoli cell barrier
-0.579904 GO:1904442	 negative regulation of thyroid gland epithelial cell proliferation
-0.579904 GO:1904411	 positive regulation of secretory granule organization
-0.579904 GO:1904394	 negative regulation of skeletal muscle acetylcholine-gated channel clustering
-0.579904 GO:1904377	 positive regulation of protein localization to cell periphery
-0.579904 GO:1904333	 positive regulation of error-prone translesion synthesis
-0.579904 GO:1904328	 regulation of myofibroblast contraction
-0.579904 GO:1904325	 positive regulation of inhibitory G protein-coupled receptor phosphorylation
-0.579904 GO:1904317	 cellular response to 2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine
-0.579904 GO:1904303	 positive regulation of maternal process involved in parturition
-0.579904 GO:1904292	 regulation of ERAD pathway
-0.579904 GO:1904290	 negative regulation of mitotic DNA damage checkpoint
-0.579904 GO:1904274	 tricellular tight junction assembly
-0.579904 GO:1904246	 negative regulation of polynucleotide adenylyltransferase activity
-0.579904 GO:1904240	 negative regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly
-0.579904 GO:1904227	 negative regulation of glycogen synthase activity, transferring glucose-1-phosphate
-0.579904 GO:1904222	 positive regulation of serine C-palmitoyltransferase activity
-0.579904 GO:1904221	 negative regulation of serine C-palmitoyltransferase activity
-0.579904 GO:1904220	 regulation of serine C-palmitoyltransferase activity
-0.579904 GO:1904219	 positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity
-0.579904 GO:1904205	 negative regulation of skeletal muscle hypertrophy
-0.579904 GO:1904197	 positive regulation of granulosa cell proliferation
-0.579904 GO:1904182	 regulation of pyruvate dehydrogenase activity
-0.579904 GO:1904156	 DN3 thymocyte differentiation
-0.579904 GO:1904152	 regulation of retrograde protein transport, ER to cytosol
-0.579904 GO:1904140	 negative regulation of microglial cell migration
-0.579904 GO:1904094	 positive regulation of autophagic cell death
-0.579904 GO:1904064	 positive regulation of cation transmembrane transport
-0.579904 GO:1904034	 positive regulation of t-SNARE clustering
-0.579904 GO:1904015	 cellular response to serotonin
-0.579904 GO:1903996	 negative regulation of non-membrane spanning protein tyrosine kinase activity
-0.579904 GO:1903977	 positive regulation of glial cell migration
-0.579904 GO:1903976	 negative regulation of glial cell migration
-0.579904 GO:1903940	 negative regulation of TORC2 signaling
-0.579904 GO:1903939	 regulation of TORC2 signaling
-0.579904 GO:1903917	 positive regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation
-0.579904 GO:1903910	 negative regulation of receptor clustering
-0.579904 GO:1903901	 negative regulation of viral life cycle
-0.579904 GO:1903900	 regulation of viral life cycle
-0.579904 GO:1903897	 regulation of PERK-mediated unfolded protein response
-0.579904 GO:1903891	 regulation of ATF6-mediated unfolded protein response
-0.579904 GO:1903850	 regulation of cristae formation
-0.579904 GO:1903841	 cellular response to arsenite(3-)
-0.579904 GO:1903839	 positive regulation of mRNA 3'-UTR binding
-0.579904 GO:1903824	 negative regulation of telomere single strand break repair
-0.579904 GO:1903806	 L-isoleucine import across plasma membrane
-0.579904 GO:1903798	 regulation of miRNA maturation
-0.579904 GO:1903786	 regulation of glutathione biosynthetic process
-0.579904 GO:1903780	 negative regulation of cardiac conduction
-0.579904 GO:1903778	 protein localization to vacuolar membrane
-0.579904 GO:1903775	 regulation of DNA double-strand break processing
-0.579904 GO:1903772	 regulation of viral budding via host ESCRT complex
-0.579904 GO:1903770	 negative regulation of beta-galactosidase activity
-0.579904 GO:1903764	 regulation of potassium ion export across plasma membrane
-0.579904 GO:1903755	 positive regulation of SUMO transferase activity
-0.579904 GO:1903743	 negative regulation of anterograde synaptic vesicle transport
-0.579904 GO:1903720	 negative regulation of I-kappaB phosphorylation
-0.579904 GO:1903716	 guanine transmembrane transport
-0.579904 GO:1903713	 asparagine transmembrane transport
-0.579904 GO:1903697	 negative regulation of microvillus assembly
-0.579904 GO:1903676	 positive regulation of cap-dependent translational initiation
-0.579904 GO:1903661	 positive regulation of complement-dependent cytotoxicity
-0.579904 GO:1903640	 negative regulation of gastrin-induced gastric acid secretion
-0.579904 GO:1903638	 positive regulation of protein insertion into mitochondrial outer membrane
-0.579904 GO:1903634	 negative regulation of leucine-tRNA ligase activity
-0.579904 GO:1903629	 positive regulation of dUTP diphosphatase activity
-0.579904 GO:1903625	 negative regulation of DNA catabolic process
-0.579904 GO:1903611	 negative regulation of calcium-dependent ATPase activity
-0.579904 GO:1903596	 regulation of gap junction assembly
-0.579904 GO:1903587	 regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
-0.579904 GO:1903586	 positive regulation of histone deubiquitination
-0.579904 GO:1903580	 positive regulation of ATP metabolic process
-0.579904 GO:1903572	 positive regulation of protein kinase D signaling
